loan_id,age,annual_income,employment_length,home_ownership,credit_score,credit_utilization,num_delinquencies,num_credit_lines,debt_to_income,months_since_last_delinq,loan_amount,loan_purpose,interest_rate,loan_term,default
LN-000093,36,78023.81,10,RENT,580,0.1713,0,9,0.1783,44.1,29500.0,home_improvement,0.1586,60,0
LN-000094,41,54710.08,5,MORTGAGE,584,0.4926,0,6,0.2405,,13300.0,home_improvement,0.2002,60,0
LN-000095,21,23653.87,10,MORTGAGE,764,0.0405,0,6,0.291,24.9,34300.0,home_improvement,0.055,60,0
LN-000096,24,35154.61,3,OWN,541,0.4858,0,8,0.2408,,14200.0,medical,0.2268,60,1
LN-000097,26,45332.24,2,RENT,742,0.6681,1,5,0.2479,28.3,5400.0,home_improvement,0.1014,36,0
LN-000098,30,37393.04,3,MORTGAGE,711,0.3115,0,5,0.1167,80.5,34400.0,other,0.0873,60,0
LN-000099,46,51039.41,0,RENT,691,0.1991,0,5,0.4226,,32100.0,other,0.1491,36,1
LN-000100,31,149763.05,5,MORTGAGE,642,0.5371,1,3,0.3569,,11700.0,other,0.1402,60,1
LN-000101,37,108912.51,5,RENT,775,0.1241,1,6,0.122,44.2,4100.0,home_improvement,0.0997,36,0
LN-000102,57,46849.72,0,MORTGAGE,689,0.131,0,5,0.1957,13.3,20100.0,debt_consolidation,0.0852,36,0
LN-000103,37,24960.06,1,MORTGAGE,564,0.0709,0,10,0.1235,41.5,30200.0,other,0.1704,36,0
LN-000104,50,114969.32,7,RENT,583,0.2658,1,14,0.5212,,28900.0,car,0.166,36,1
LN-000105,30,50039.47,7,RENT,548,0.2166,0,9,0.559,,11000.0,car,0.2027,36,1
LN-000106,39,18289.82,10,RENT,776,0.3276,0,4,0.2957,59.6,15000.0,other,0.0809,36,0
LN-000107,30,79020.14,1,RENT,793,0.365,1,5,0.2669,30.4,7300.0,other,0.0716,36,0
LN-000108,37,95359.76,10,MORTGAGE,766,0.1698,0,12,0.3908,29.6,32000.0,debt_consolidation,0.055,36,0
LN-000109,52,12021.54,1,MORTGAGE,668,0.4858,0,9,0.4104,6.6,4300.0,other,0.1178,36,1
LN-000110,21,31422.11,1,MORTGAGE,565,0.3333,0,8,0.5779,,27400.0,car,0.1805,60,1
LN-000111,47,48229.57,7,OWN,595,0.2208,0,8,0.5117,28.2,16500.0,home_improvement,0.1433,36,0
LN-000112,44,80074.0,3,RENT,600,0.2239,5,6,0.3587,,8900.0,home_improvement,0.1695,60,1
LN-000113,34,37818.44,7,OWN,676,0.3767,1,9,0.2706,52.7,6900.0,home_improvement,0.1068,36,0
LN-000114,24,31279.4,2,MORTGAGE,790,0.1261,1,4,0.2137,17.3,31700.0,debt_consolidation,0.0573,36,0
LN-000115,42,79722.05,1,RENT,790,0.5748,0,8,0.405,72.9,4900.0,home_improvement,0.0658,36,0
LN-000116,35,38910.0,5,MORTGAGE,640,0.3802,0,6,0.2056,18.8,19300.0,debt_consolidation,0.1569,60,0
LN-000117,44,71341.45,0,MORTGAGE,501,0.7277,0,5,0.3001,,16200.0,debt_consolidation,0.2235,36,1
LN-000118,42,26452.09,2,MORTGAGE,586,0.5038,1,5,0.198,78.4,2300.0,debt_consolidation,0.1796,36,0
LN-000119,61,22893.31,1,MORTGAGE,775,0.1004,3,8,0.131,69.0,7800.0,other,0.0759,60,0
LN-000120,39,81077.56,2,OWN,698,0.3549,0,11,0.3094,,15000.0,car,0.124,60,0
LN-000121,29,59964.74,7,MORTGAGE,651,0.0844,0,7,0.4297,,14900.0,home_improvement,0.0769,36,0
LN-000122,44,89632.52,1,MORTGAGE,645,0.2638,0,5,0.1648,,23400.0,debt_consolidation,0.1364,36,0
LN-000123,44,37438.1,5,RENT,619,0.2092,0,6,0.1857,,30500.0,debt_consolidation,0.1776,36,0
LN-000124,58,31982.27,5,OWN,583,0.1417,0,6,0.3298,,29800.0,debt_consolidation,0.1479,36,1
LN-000125,52,116591.46,3,MORTGAGE,845,0.214,0,7,0.2239,57.4,14900.0,debt_consolidation,0.0591,36,0
LN-000126,46,20665.58,3,MORTGAGE,817,0.2007,1,9,0.2978,,31600.0,small_business,0.055,60,0
LN-000127,59,109193.46,5,OWN,614,0.1734,0,6,0.3168,76.7,33900.0,home_improvement,0.1719,36,0
LN-000128,27,113811.95,10,RENT,539,0.7415,0,8,0.6023,,34900.0,debt_consolidation,0.2209,36,1
LN-000129,34,86340.47,1,RENT,693,0.2906,0,11,0.4757,82.9,22300.0,medical,0.1315,36,0
LN-000130,30,34108.96,7,MORTGAGE,668,0.3882,0,9,0.4714,,27200.0,other,0.1552,36,0
LN-000131,37,31573.89,0,OWN,730,0.0453,0,9,0.4602,,6600.0,home_improvement,0.1152,36,0
LN-000132,25,45431.75,3,MORTGAGE,748,0.1198,0,10,0.3354,,19700.0,medical,0.0773,60,0
LN-000133,49,23693.98,3,MORTGAGE,586,0.3768,0,11,0.4359,19.7,4800.0,debt_consolidation,0.1712,36,1
LN-000134,39,28940.1,1,RENT,782,0.2767,0,5,0.4276,15.3,7200.0,debt_consolidation,0.098,36,0
LN-000135,24,75874.85,0,MORTGAGE,651,0.2656,0,4,0.1015,40.4,23300.0,debt_consolidation,0.1617,36,0
LN-000136,29,76085.23,0,RENT,728,0.1028,1,9,0.3486,42.4,15900.0,debt_consolidation,0.1242,36,1
LN-000137,45,27453.67,0,OWN,659,0.1233,0,10,0.5809,,8900.0,small_business,0.1294,36,1
LN-000138,52,77317.31,5,MORTGAGE,753,0.2033,0,9,0.3323,8.1,17700.0,car,0.0734,36,0
LN-000139,65,67682.44,1,RENT,491,0.51,0,5,0.1853,,28300.0,debt_consolidation,0.2442,60,1
LN-000140,75,127507.66,7,MORTGAGE,739,0.2317,1,10,0.4283,34.3,31200.0,other,0.1017,36,0
LN-000141,46,72510.15,10,OWN,613,0.227,0,12,0.1532,8.5,33000.0,debt_consolidation,0.185,36,0
LN-000142,30,97260.54,2,MORTGAGE,685,0.4573,0,4,0.2953,80.7,15600.0,home_improvement,0.1416,36,0
LN-000143,21,68613.63,1,RENT,779,0.1102,0,5,0.3586,60.1,2500.0,other,0.0698,36,0
LN-000144,45,92777.32,2,MORTGAGE,615,0.1437,1,10,0.65,,12500.0,debt_consolidation,0.2076,36,1
LN-000145,32,23806.88,10,MORTGAGE,603,0.1224,1,5,0.4855,13.3,27300.0,debt_consolidation,0.1797,36,1
LN-000146,37,47903.95,2,RENT,650,0.3551,1,11,0.2842,,15900.0,debt_consolidation,0.1535,60,0
LN-000147,34,50342.77,0,MORTGAGE,645,0.4391,0,15,0.3472,54.4,25000.0,small_business,0.0991,60,0
LN-000148,40,44522.5,10,RENT,595,0.1789,1,10,0.1311,,25300.0,debt_consolidation,0.1704,36,1
LN-000149,54,67260.74,3,MORTGAGE,688,0.2657,0,9,0.2558,,5000.0,debt_consolidation,0.0862,60,0
LN-000150,43,75404.92,2,RENT,692,0.6461,0,7,0.1531,38.2,17700.0,debt_consolidation,0.0861,60,0
LN-000151,40,65209.1,10,MORTGAGE,717,0.3164,0,10,0.65,,15200.0,debt_consolidation,0.1174,36,1
LN-000152,29,46343.38,10,MORTGAGE,614,0.4098,0,4,0.2129,,14800.0,debt_consolidation,0.1698,36,0
LN-000153,21,33142.18,3,MORTGAGE,604,0.211,2,9,0.1804,41.6,30300.0,debt_consolidation,0.1897,60,0
LN-000154,36,99539.68,2,RENT,670,0.0751,0,11,0.2466,59.0,23800.0,other,0.1577,36,0
LN-000155,41,63566.36,3,RENT,660,0.2774,3,8,0.4693,,25400.0,car,0.1457,36,1
LN-000156,63,27968.43,1,MORTGAGE,661,0.236,0,10,0.2499,53.4,12900.0,home_improvement,0.1579,36,0
LN-000157,43,45880.13,3,OWN,623,0.344,0,8,0.2235,,11900.0,debt_consolidation,0.1617,36,1
LN-000158,53,18106.39,1,RENT,706,0.5019,0,3,0.2689,23.3,7400.0,home_improvement,0.1452,36,0
LN-000159,36,52639.52,5,RENT,604,0.438,0,11,0.3542,35.7,2500.0,medical,0.1766,36,0
LN-000160,27,45751.14,7,OWN,670,0.1691,1,4,0.1617,77.2,30500.0,other,0.1554,36,0
LN-000161,30,36509.21,10,RENT,655,0.0297,0,6,0.4235,54.2,8100.0,debt_consolidation,0.1598,60,0
LN-000162,33,133353.68,10,OWN,677,0.119,0,9,0.3972,54.8,13300.0,home_improvement,0.1289,36,0
LN-000163,67,25753.03,0,MORTGAGE,774,0.092,0,5,0.4668,40.0,13100.0,other,0.0918,36,1
LN-000164,32,78734.43,1,RENT,574,0.1815,4,11,0.2063,58.0,9700.0,car,0.1888,36,1
LN-000165,52,191381.65,3,RENT,488,0.1814,3,10,0.2683,,25300.0,debt_consolidation,0.2577,60,1
LN-000166,31,98357.17,1,OWN,632,0.5309,0,3,0.4064,65.7,28500.0,home_improvement,0.1586,60,0
LN-000167,53,50568.13,0,RENT,587,0.3956,0,5,0.5199,8.6,9400.0,debt_consolidation,0.1604,36,1
LN-000168,46,26096.56,7,MORTGAGE,439,0.2788,3,10,0.5746,77.5,15200.0,car,0.2676,60,1
LN-000169,40,22760.06,2,RENT,819,0.4872,0,8,0.1938,49.6,5300.0,medical,0.055,36,0
LN-000170,41,40258.2,0,MORTGAGE,724,0.3511,0,8,0.269,4.2,13300.0,debt_consolidation,0.1178,36,0
LN-000171,34,34125.48,3,MORTGAGE,733,0.0547,1,13,0.2408,4.7,25500.0,debt_consolidation,0.106,36,0
LN-000172,47,33465.55,10,MORTGAGE,657,0.2959,0,10,0.4783,59.2,19000.0,home_improvement,0.1483,36,0
LN-000173,36,42370.68,5,RENT,713,0.4188,1,10,0.2583,10.5,33100.0,small_business,0.1586,60,1
LN-000174,27,48467.65,1,MORTGAGE,646,0.1934,0,4,0.4185,,31100.0,home_improvement,0.1513,36,0
LN-000175,26,68949.33,3,MORTGAGE,745,0.3913,0,9,0.2073,,6000.0,debt_consolidation,0.055,60,0
LN-000176,44,24521.91,10,RENT,695,0.514,0,5,0.1227,,18700.0,debt_consolidation,0.1141,60,0
LN-000177,60,34223.02,0,MORTGAGE,677,0.303,0,11,0.2387,,16100.0,medical,0.1322,36,0
LN-000178,43,46826.13,5,MORTGAGE,683,0.5255,0,5,0.2161,9.5,22000.0,medical,0.1411,36,0
LN-000179,40,45830.67,7,RENT,797,0.5779,0,8,0.1844,,27400.0,car,0.0712,36,0
LN-000180,45,155104.48,7,OWN,693,0.3903,0,6,0.182,,22900.0,home_improvement,0.1258,60,0
LN-000181,57,59239.74,1,RENT,597,0.042,0,9,0.1335,61.4,17100.0,home_improvement,0.1806,60,1
LN-000182,44,19571.82,10,RENT,706,0.1752,0,2,0.1985,,5200.0,medical,0.0966,60,0
LN-000183,37,66231.32,2,RENT,719,0.446,0,4,0.1836,74.2,29300.0,debt_consolidation,0.0925,60,0
LN-000184,55,71496.1,0,RENT,668,0.1846,0,6,0.4333,,24900.0,car,0.1695,36,0
LN-000185,47,47806.8,0,RENT,675,0.0638,0,8,0.2012,45.6,32700.0,medical,0.1274,60,0
LN-000186,60,24883.54,3,RENT,594,0.0761,0,6,0.2962,,18400.0,small_business,0.1876,60,0
LN-000187,44,147980.06,0,MORTGAGE,687,0.3586,1,6,0.3118,,18100.0,debt_consolidation,0.1389,36,0
LN-000188,27,27121.16,7,MORTGAGE,582,0.4346,0,9,0.1914,28.7,4600.0,medical,0.1889,60,1
LN-000189,25,76608.5,10,RENT,659,0.0593,1,6,0.65,,21900.0,debt_consolidation,0.1449,36,0
LN-000190,61,58106.36,0,MORTGAGE,626,0.1761,0,8,0.3662,,26200.0,other,0.1599,60,0
LN-000191,62,73901.35,7,MORTGAGE,758,0.2126,0,8,0.3124,37.3,7800.0,small_business,0.055,36,0
LN-000192,39,143503.51,10,MORTGAGE,803,0.2988,0,9,0.3248,61.3,24000.0,small_business,0.0779,36,0
LN-000193,37,72184.7,0,OWN,588,0.0931,0,10,0.2546,12.3,4900.0,other,0.1772,36,0
LN-000194,59,36857.02,7,RENT,679,0.4794,0,2,0.1912,83.4,23400.0,home_improvement,0.1317,60,0
LN-000195,28,100067.01,10,RENT,655,0.1921,0,11,0.2189,35.9,13000.0,debt_consolidation,0.1414,36,0
LN-000196,31,35289.49,7,RENT,717,0.3088,0,12,0.1999,57.6,21200.0,small_business,0.138,36,0
LN-000197,49,56847.91,3,RENT,687,0.4165,2,10,0.2046,59.1,4100.0,debt_consolidation,0.107,60,0
LN-000198,37,23721.8,10,MORTGAGE,649,0.2968,0,9,0.2977,42.2,5800.0,other,0.1409,36,0
LN-000199,41,27723.38,7,RENT,687,0.2797,0,9,0.1041,27.3,20900.0,debt_consolidation,0.132,36,0
LN-000200,40,53147.8,2,MORTGAGE,662,0.3897,2,6,0.2815,,3800.0,small_business,0.1601,60,0
LN-000201,46,64270.24,1,OWN,807,0.0596,0,9,0.2399,,5300.0,debt_consolidation,0.055,36,0
LN-000202,58,18556.32,3,MORTGAGE,616,0.0449,1,4,0.3157,,23900.0,medical,0.1603,36,0
LN-000203,43,69450.7,2,MORTGAGE,700,0.3342,1,4,0.65,16.0,13800.0,debt_consolidation,0.1326,36,1
LN-000204,49,31518.9,2,MORTGAGE,720,0.4166,0,9,0.1371,66.0,17100.0,debt_consolidation,0.1157,36,0
LN-000205,21,111058.55,1,MORTGAGE,715,0.4957,0,12,0.1469,72.0,32700.0,home_improvement,0.1266,60,0
LN-000206,41,41723.56,10,MORTGAGE,656,0.3303,0,9,0.2575,,23000.0,debt_consolidation,0.1302,36,0
LN-000207,31,26260.64,7,RENT,789,0.3624,0,3,0.65,,16400.0,debt_consolidation,0.0662,36,0
LN-000208,27,53932.19,2,RENT,512,0.6659,0,6,0.1207,,26800.0,debt_consolidation,0.2226,36,0
LN-000209,31,29740.32,1,RENT,592,0.3028,0,7,0.2595,42.9,34100.0,other,0.212,60,0
LN-000210,37,110345.0,1,MORTGAGE,733,0.3612,0,10,0.193,52.1,22600.0,debt_consolidation,0.132,36,0
LN-000211,52,51550.55,0,MORTGAGE,609,0.5472,1,7,0.2608,,29500.0,other,0.1641,36,0
LN-000212,26,47051.31,5,RENT,604,0.4556,3,11,0.1449,28.6,33100.0,small_business,0.1359,36,0
LN-000213,42,73502.93,0,RENT,642,0.1647,2,7,0.2317,,3500.0,small_business,0.1126,60,0
LN-000214,36,28198.71,10,MORTGAGE,617,0.4182,0,10,0.344,,22300.0,debt_consolidation,0.1632,36,0
LN-000215,38,23777.8,2,RENT,730,0.3257,0,6,0.2044,69.1,16500.0,small_business,0.0897,36,0
LN-000216,54,65841.85,0,RENT,752,0.0706,0,8,0.3882,19.7,28800.0,small_business,0.1182,36,0
LN-000217,48,26640.76,10,RENT,687,0.3039,0,5,0.65,44.0,31500.0,other,0.1505,36,1
LN-000218,58,26635.33,2,RENT,764,0.326,0,5,0.3861,67.7,8500.0,debt_consolidation,0.1195,60,0
LN-000219,40,85140.12,2,MORTGAGE,569,0.2105,0,7,0.4788,5.6,24800.0,small_business,0.2014,60,1
LN-000220,33,70617.87,0,RENT,686,0.236,1,7,0.4027,77.0,24400.0,small_business,0.0785,60,0
LN-000221,39,24287.14,5,RENT,787,0.2372,1,2,0.2292,,25500.0,other,0.0609,60,0
LN-000222,44,35543.71,2,OWN,758,0.1283,1,5,0.1005,,7500.0,home_improvement,0.0614,36,0
LN-000223,44,29964.27,7,MORTGAGE,794,0.2063,0,9,0.176,5.7,13800.0,debt_consolidation,0.0819,60,0
LN-000224,28,149610.66,5,MORTGAGE,632,0.1302,0,3,0.4473,37.5,26700.0,medical,0.1384,60,0
LN-000225,43,88752.45,10,MORTGAGE,753,0.3506,1,7,0.1501,45.3,29300.0,other,0.0979,36,0
LN-000226,44,40034.35,5,RENT,645,0.1797,0,10,0.2558,,29900.0,medical,0.1424,36,0
LN-000227,72,72817.88,7,RENT,727,0.2593,0,8,0.2765,70.7,10600.0,car,0.0922,36,0
LN-000228,64,22840.45,5,RENT,784,0.0757,3,6,0.1616,,25800.0,home_improvement,0.1139,36,0
LN-000229,31,34420.66,3,RENT,616,0.2514,0,7,0.5977,,4100.0,medical,0.1694,36,1
LN-000230,38,54880.75,5,RENT,531,0.3449,0,10,0.3544,6.9,24900.0,debt_consolidation,0.2058,60,1
LN-000231,24,67598.32,5,MORTGAGE,827,0.1583,1,14,0.5885,,10900.0,debt_consolidation,0.055,36,0
LN-000232,34,48607.08,0,RENT,719,0.4037,0,8,0.5063,,28600.0,small_business,0.1117,36,1
LN-000233,45,59802.82,5,RENT,671,0.1393,1,8,0.4177,19.1,29900.0,debt_consolidation,0.159,36,0
LN-000234,56,54014.18,1,MORTGAGE,667,0.4467,0,9,0.1107,,12100.0,small_business,0.1789,60,0
LN-000235,33,46716.54,5,RENT,512,0.8313,2,11,0.1589,,29300.0,debt_consolidation,0.2168,60,0
