age,annual_income,employment_length,credit_score,credit_utilization,num_delinquencies,num_credit_lines,debt_to_income,months_since_last_delinq,loan_amount,interest_rate,loan_term,log_annual_income,log_loan_amount,log_dti,loan_to_income_ratio,monthly_payment_est,payment_to_income,utilization_x_delinq,credit_score_x_utilization,has_delinquency_history,credit_score_bin,dti_bin,age_bin,home_ownership_OWN,home_ownership_RENT,loan_purpose_debt_consolidation,loan_purpose_home_improvement,loan_purpose_medical,loan_purpose_other,loan_purpose_small_business,default
35,55713.61,2,820,0.3323,0,11,0.4585,0.0,20900.0,0.0991,60,10.927997689546396,9.94755228369823,0.37740851032563905,0.3751327548152058,443.14,0.09544669605864706,0.0,272.486,0,4,3,1,1,0,0,0,1,0,0,0
47,49036.96,5,634,0.3303,0,11,0.1069,0.0,8900.0,0.18,36,10.8003499710499,9.093918908958932,0.10156331540944123,0.1814957534072259,321.76,0.0787389756624391,0.0,209.41019999999997,0,1,0,2,0,1,1,0,0,0,0,0
32,7442.98,2,711,0.4661,0,10,0.5077,0.0,30500.0,0.1325,36,8.915160931030966,10.32551474894327,0.4105853108027358,4.097821034048191,1031.34,1.6627856046905942,0.0,331.3971,0,2,3,1,0,0,1,0,0,0,0,1
25,95314.62,1,700,0.291,0,7,0.4437,35.7,20300.0,0.1217,36,11.464948979674338,9.918425424900335,0.3672092626536318,0.21297886934868965,675.9,0.08509502529622423,0.0,203.7,1,2,2,0,0,1,0,0,0,0,1,0
37,24331.92,3,732,0.181,0,10,0.297,0.0,9100.0,0.1354,60,10.09958544501678,9.116139576577355,0.26005390533430683,0.3739943251498443,209.58,0.10336052395372007,0.0,132.492,0,2,1,1,0,1,0,0,1,0,0,0
50,80560.27,1,690,0.4784,3,5,0.346,0.0,4700.0,0.1289,36,11.29677329191565,8.45553053102413,0.29713723122253605,0.058341413205293374,158.11,0.023551559596312176,1.4352,330.096,0,2,2,2,0,0,0,0,1,0,0,1
47,97209.65,5,709,0.5152,0,7,0.4732,18.2,25700.0,0.1028,60,11.48463555234764,10.154285180632154,0.3874369055887732,0.264377044871574,549.6,0.06784511619988345,0.0,365.2768,1,2,3,2,0,0,0,0,0,0,0,0
38,35331.44,7,626,0.2284,0,7,0.3395,0.0,2500.0,0.1371,60,10.472556801087606,7.824445930877619,0.29229641000252643,0.07075850856913841,57.8,0.01963124061742176,0.0,142.9784,0,1,2,1,0,0,0,0,0,1,0,0
27,88505.07,1,545,0.5189,0,6,0.2405,0.0,8900.0,0.2173,60,11.390826416214622,9.093918908958932,0.21551452414971864,0.10055921090170314,244.44,0.03314250810716267,0.0,282.8005,0,0,1,0,0,0,0,0,0,0,1,0
32,20046.65,5,664,0.2219,0,8,0.0933,0.0,33800.0,0.1469,36,9.905867218882896,10.428245666832275,0.08920064545830206,1.6860672481437047,1166.56,0.6983071984595929,0.0,147.3416,0,1,0,1,0,0,0,0,0,1,0,1
49,87493.4,1,693,0.3427,0,6,0.3784,80.3,29700.0,0.1462,36,11.379330070297618,10.298935994257638,0.32092340623158283,0.3394541759721305,1024.04,0.1404503653989901,0.0,237.49110000000002,1,2,2,2,0,0,0,0,1,0,0,0
33,19913.76,7,711,0.2536,1,12,0.5875,43.7,21300.0,0.0866,60,9.899216444325454,9.966509298952284,0.46216045178470966,1.06961216766698,438.65,0.26432979005471596,0.2536,180.3096,1,2,3,1,0,1,0,0,1,0,0,1
48,65210.01,10,715,0.1509,1,9,0.5485,0.0,33700.0,0.124,60,11.085383598689324,10.425282789490705,0.43728672043112043,0.5167918238319547,756.47,0.13920623536171822,0.1509,107.8935,0,2,3,2,1,0,1,0,0,0,0,1
47,137935.84,10,758,0.0876,0,11,0.3121,63.8,28700.0,0.0663,36,11.834551178211932,10.264687244346277,0.27162890712953297,0.20806775091955798,881.33,0.0766730387113313,0.0,66.4008,1,3,2,2,0,0,1,0,0,0,0,0
52,51550.55,0,609,0.5472,1,7,0.2608,0.0,29500.0,0.1641,36,10.850337556888324,10.292179440058462,0.23174644012147763,0.5722538362830271,1043.11,0.24281641999939862,0.5472,333.2448,0,1,1,2,0,0,0,0,0,1,0,0
35,49459.4,0,689,0.6113,0,10,0.314,76.7,7900.0,0.1583,36,10.808927628386012,8.974744612722734,0.27307592006241876,0.15972696797777572,277.08,0.06722604803131457,0.0,421.1857,1,2,2,1,1,0,0,1,0,0,0,0
39,86519.69,3,683,0.3684,0,10,0.1973,61.7,24900.0,0.1329,36,11.36813885506987,10.122663242288953,0.18006902174066083,0.28779576071065444,842.46,0.1168464658160472,0.0,251.6172,1,2,1,1,0,1,0,0,0,1,0,0
49,45396.13,1,701,0.361,2,13,0.282,0.0,7300.0,0.1225,36,10.723204166172202,8.895766604056085,0.24842135849847827,0.16080665906983702,243.34,0.06432442589269173,0.722,253.06099999999998,0,2,1,2,0,0,1,0,0,0,0,0
29,203370.48,5,661,0.2788,0,6,0.6163,0.0,16900.0,0.1429,36,12.222789536442852,9.735128070758227,0.48013958643362586,0.08309957276001904,579.99,0.03422266594443795,0.0,184.2868,0,1,3,0,0,0,0,0,0,0,1,0
42,45816.24,10,701,0.6174,0,11,0.2671,0.0,18100.0,0.1187,36,10.732415718488312,9.803722464346553,0.23673082482272553,0.3950564254072355,600.06,0.15716523224079496,0.0,432.7974,0,2,1,2,0,0,0,0,0,0,0,0
32,42165.62,1,614,0.099,2,6,0.1833,0.0,2100.0,0.1766,36,10.649384191761623,7.650168700845001,0.1683071454083761,0.0498036077733471,75.56,0.02150377487630918,0.198,60.786,0,1,1,1,0,0,1,0,0,0,0,0
36,36309.47,10,650,0.301,1,5,0.4719,59.4,34200.0,0.1232,36,10.499861408417145,10.440010162389305,0.38655408321640394,0.9419030352136784,1141.16,0.377144585145418,0.301,195.65,1,1,3,1,0,1,0,1,0,0,0,1
44,126932.82,2,583,0.4542,0,7,0.1955,18.6,34600.0,0.1858,36,11.751421127257501,10.451637862362272,0.17856450791624237,0.2725851359798041,1260.96,0.11920888545610189,0.0,264.7986,1,1,1,2,0,1,0,0,1,0,0,0
47,54874.24,10,718,0.435,1,5,0.231,32.3,22200.0,0.0697,36,10.912817523944218,10.007892611890918,0.20782684720231648,0.4045614116933556,685.17,0.1498342391621278,0.435,312.33,1,2,1,2,0,0,1,0,0,0,0,0
41,51180.88,5,736,0.1222,0,7,0.1879,0.0,21400.0,0.1082,60,10.843140842138002,9.97119292889014,0.1721870423133569,0.418124893514922,463.37,0.10864291508860341,0.0,89.9392,0,2,1,1,0,1,0,0,0,1,0,0
39,42230.05,7,759,0.0326,0,11,0.1517,36.6,32700.0,0.1069,60,10.65091101145976,10.39516093745751,0.14123911169272468,0.7743301274803132,705.93,0.20059554748336786,0.0,24.743399999999998,1,3,1,1,0,0,0,0,0,0,1,0
46,25824.98,5,677,0.128,0,6,0.3005,0.0,34500.0,0.1385,36,10.159136240992915,10.448743588106625,0.2627488059065692,1.335915845820597,1176.62,0.5467357573945846,0.0,86.656,0,2,2,2,0,1,1,0,0,0,0,0
47,35704.96,7,675,0.1507,0,9,0.1739,0.0,14300.0,0.1585,36,10.48307290061238,9.568084743872936,0.16033153890233942,0.40050457975586584,501.69,0.16861186793095412,0.0,101.7225,0,2,1,2,0,1,0,0,1,0,0,0
21,41535.85,5,735,0.383,0,5,0.4849,18.5,2600.0,0.1161,60,10.634336264030027,7.8636512654486515,0.39534742991987876,0.0625965280594956,57.32,0.016560152254016712,0.0,281.505,1,2,3,0,1,0,1,0,0,0,0,0
74,64023.96,1,600,0.1524,0,5,0.6329,0.0,13100.0,0.1928,36,11.067028286311576,9.48044384215367,0.490357575126127,0.2046108987947637,482.05,0.09035055001283894,0.0,91.44,0,1,3,3,1,0,1,0,0,0,0,0
24,36757.36,10,781,0.2744,0,11,0.167,36.1,34000.0,0.0628,36,10.512120961763847,10.434145214930487,0.15443635330441893,0.924984819366788,1038.66,0.33908637617064996,0.0,214.3064,1,3,1,0,0,1,1,0,0,0,0,0
40,56067.71,10,653,0.3331,4,6,0.2736,8.4,18100.0,0.1337,36,10.934333181897463,9.803722464346553,0.24184753610798151,0.32282395696203753,613.09,0.13121777222576061,1.3324,217.5143,1,1,1,1,0,0,0,1,0,0,0,1
55,19054.12,1,625,0.0969,1,8,0.4815,66.1,21800.0,0.1717,60,9.855091110847827,9.989711119284745,0.39305508803148287,1.1441095154223864,543.78,0.34246451686039553,0.0969,60.5625,1,1,3,2,1,0,0,0,0,0,0,1
41,14722.76,2,675,0.3388,0,8,0.2759,29.5,22600.0,0.1254,60,9.597217794447566,10.025749432069084,0.24365181194556046,1.5350382672814065,508.91,0.41479450863832595,0.0,228.69,1,2,1,1,0,1,1,0,0,0,0,1
44,158674.12,7,624,0.8778,0,9,0.1648,11.2,12800.0,0.1498,36,11.974614120437186,9.45727857185611,0.15254939846028445,0.0806684795226846,443.59,0.033547247654500935,0.0,547.7472,1,1,1,2,0,0,1,0,0,0,0,0
60,36710.0,1,723,0.1555,0,2,0.0842,0.0,2100.0,0.1359,36,10.510831716653778,7.650168700845001,0.08084238784410075,0.05720512122037592,71.36,0.023326614001634435,0.0,112.4265,0,2,0,3,0,0,1,0,0,0,0,0
52,27321.46,3,770,0.336,1,6,0.65,0.0,12000.0,0.1026,36,10.21546435355488,9.392745258631441,0.5007752879124893,0.43921518103351725,388.67,0.17070976441229715,0.336,258.72,0,3,3,2,1,0,0,0,0,1,0,0
25,89831.35,7,645,0.156,0,5,0.2797,0.0,24700.0,0.172,60,11.405700434406508,10.114599007626499,0.24662567546141317,0.2749596883493346,616.52,0.08235699452362677,0.0,100.62,0,1,1,0,0,1,0,1,0,0,0,0
24,42342.04,0,644,0.0636,1,9,0.407,0.0,19700.0,0.1712,36,10.65355934182796,9.888424674859083,0.341459778132252,0.4652586412936174,703.54,0.19938765349992582,0.0636,40.958400000000005,0,1,2,0,0,1,0,0,0,1,0,1
65,56694.61,0,619,0.2968,2,11,0.1716,56.9,3900.0,0.1235,60,10.945452061674278,8.268988209506656,0.15837033597144137,0.06878960804210488,87.44,0.01850757946831277,0.5936,183.7192,1,1,1,3,0,0,0,1,0,0,0,0
46,166531.5,5,789,0.4633,0,7,0.483,21.2,32500.0,0.055,36,12.022945764549727,10.389026137075234,0.39406706315579504,0.1951582733596947,981.37,0.0707159906684321,0.0,365.5437,1,3,3,2,0,1,0,1,0,0,0,0
58,78952.6,0,673,0.371,0,10,0.2631,0.0,24700.0,0.162,36,11.27661561712426,10.114599007626499,0.23356901679779252,0.31284593540934685,870.82,0.13235586921773315,0.0,249.683,0,2,1,3,0,1,0,0,0,1,0,0
21,80289.46,7,751,0.0694,0,9,0.3577,46.8,3400.0,0.0869,36,11.293406088393853,8.131824785007195,0.3057920916240985,0.04234677876772368,107.63,0.016086295760365056,0.0,52.119400000000006,1,3,2,0,1,0,1,0,0,0,0,0
37,12000.05,2,646,0.0568,1,7,0.3918,27.6,11800.0,0.1367,36,9.392749424942236,9.375939552625749,0.33059787342861263,0.9833292361281829,401.41,0.40140832746530225,0.0568,36.692800000000005,1,1,2,1,0,0,0,1,0,0,0,1
30,73703.32,3,751,0.1407,1,3,0.2707,0.0,27300.0,0.129,60,11.207816692470432,10.214678610538817,0.23956792972835164,0.3704039383843224,619.76,0.10090617356178798,0.1407,105.66569999999999,0,3,1,0,0,0,1,0,0,0,0,0
39,120576.07,3,850,0.3962,2,8,0.4771,0.0,25800.0,0.0667,60,11.700044412527731,10.158168529848494,0.390080706064417,0.21397280571509752,506.86,0.050443840141746195,0.7924,336.77,0,4,3,1,0,1,1,0,0,0,0,0
44,160381.44,3,563,0.2315,0,10,0.228,0.0,2000.0,0.1707,60,11.985316492112355,7.601402334583733,0.20538682972495073,0.012470270874235821,49.78,0.003724620504716755,0.0,130.33450000000002,0,0,1,2,0,0,0,0,0,1,0,0
24,44344.57,2,670,0.3188,3,8,0.0825,0.0,24300.0,0.1141,36,10.699768095488233,10.098272780745283,0.07927318089450787,0.5479814101252983,800.28,0.2165622532815179,0.9563999999999999,213.59599999999998,0,1,0,0,1,0,1,0,0,0,0,0
49,63894.16,10,579,0.5093,0,8,0.2758,11.8,23900.0,0.1693,36,11.06499889414797,10.081675578048475,0.24357343282571786,0.3740560952675487,851.27,0.15987752245275624,0.0,294.8847,1,0,1,2,0,1,1,0,0,0,0,0
24,51929.69,0,730,0.4251,0,9,0.1583,0.0,22500.0,0.1165,60,10.857665223867365,10.021315031649332,0.14695341295616332,0.43327814974439477,496.53,0.11473898650271164,0.0,310.323,0,2,1,0,0,1,0,1,0,0,0,0
21,51799.2,0,560,0.5034,0,10,0.65,0.0,18500.0,0.1692,36,10.855149289243982,9.825580063659602,0.5007752879124893,0.3571483729478448,658.84,0.15262938423759442,0.0,281.904,0,0,3,0,1,0,1,0,0,0,0,1
44,44990.14,10,712,0.0777,0,9,0.128,77.4,34100.0,0.1175,36,10.714220860478406,10.43708198835482,0.12044615307586716,0.7579438516972831,1128.54,0.30100995462561353,0.0,55.3224,1,2,0,2,0,0,1,0,0,0,0,0
56,56539.9,7,755,0.4606,4,9,0.3666,66.0,21000.0,0.1335,36,10.942719549055099,9.952325334619427,0.31232590336454086,0.3714191217175835,711.12,0.15092775190617597,1.8424,347.753,1,3,2,2,0,1,0,1,0,0,0,0
21,43227.19,5,652,0.184,1,6,0.2598,0.0,23600.0,0.1452,36,10.67424810771274,10.069044362997353,0.23095297820569155,0.5459526746938674,812.57,0.22557191434372673,0.184,119.968,0,1,1,0,0,0,0,0,1,0,0,0
42,33159.31,0,804,0.295,1,11,0.1228,26.3,32300.0,0.055,60,10.40910895781832,10.382853468483827,0.11582556550559038,0.9740854076879164,616.97,0.22327485101469244,0.295,237.17999999999998,1,4,0,2,0,0,0,0,0,0,1,0
34,52474.29,10,710,0.4143,0,11,0.3456,12.9,4500.0,0.0809,36,10.868097671114725,8.412054873292933,0.2968400102365466,0.0857562817905683,141.2,0.03229009863687531,0.0,294.153,1,2,2,1,1,0,1,0,0,0,0,0
54,55393.94,3,605,0.1264,1,9,0.43,79.3,33400.0,0.1665,36,10.92224353282394,10.416341118636355,0.35767444427181594,0.6029540415431723,1184.99,0.2567046142592493,0.1264,76.47200000000001,1,1,2,2,0,0,1,0,0,0,0,0
44,34847.57,7,636,0.1474,0,10,0.1372,0.0,23200.0,0.1586,36,10.458767382348228,10.05195066017375,0.12856910079470765,0.6657566079930394,814.04,0.28032026336413124,0.0,93.74640000000001,0,1,0,2,0,0,0,1,0,0,0,0
41,54194.28,5,773,0.4241,0,6,0.3279,70.7,14100.0,0.097,60,10.900349098764782,9.55400099583723,0.2835987470141448,0.26017505906527405,297.51,0.06587632495532739,0.0,327.8293,1,3,2,1,0,0,1,0,0,0,0,0
39,38631.95,10,850,0.2349,1,10,0.2911,0.0,19600.0,0.055,36,10.561860818263655,9.883335864325275,0.2554945681985359,0.507352075160586,591.84,0.1838395421406375,0.2349,199.665,0,4,1,1,0,0,0,1,0,0,0,0
29,38857.5,5,635,0.0561,0,6,0.3909,0.0,33300.0,0.1634,60,10.567682122083495,10.413342705547674,0.3299510196309474,0.8569774174869716,815.82,0.2519420961204401,0.0,35.6235,0,1,2,0,0,0,1,0,0,0,0,0
44,18096.61,5,685,0.2734,1,8,0.3223,82.1,4200.0,0.1424,36,9.80353516433642,8.343077871169383,0.2793726445806401,0.2320876672481752,144.04,0.09551402168693472,0.2734,187.279,1,2,2,2,0,0,1,0,0,0,0,0
70,42743.16,7,547,0.2135,0,5,0.2475,48.3,26800.0,0.1926,36,10.662987856846023,10.196194479235656,0.22114154864353666,0.627000904940112,985.91,0.2767909532191817,0.0,116.7845,1,0,1,3,1,0,0,0,0,1,0,0
55,76869.41,3,711,0.2591,0,12,0.2395,0.0,16900.0,0.1215,36,11.249876296009193,9.735128070758227,0.21470807249310814,0.2198533851111905,562.53,0.08781594655143052,0.0,184.2201,0,2,1,2,0,1,0,0,0,1,0,0
62,70435.0,1,581,0.1375,0,5,0.1819,0.0,17900.0,0.1729,36,11.162459775080668,9.792611856190192,0.16712331303605787,0.254135018101796,640.77,0.10916788528430468,0.0,79.8875,0,1,1,3,0,0,0,0,1,0,0,0
63,84734.42,3,652,0.5051,0,5,0.529,40.1,31900.0,0.1403,60,11.34728897504468,10.370392636243981,0.42461392694692524,0.376470388302652,742.75,0.10518747871290085,0.0,329.3252,1,1,3,3,0,0,0,0,1,0,0,1
23,46262.94,10,544,0.4313,0,11,0.1536,43.2,12500.0,0.1866,36,10.742118102932492,9.433563920090563,0.14288748754854758,0.2701946741819694,456.05,0.11829338991425965,0.0,234.62720000000002,1,0,1,0,0,0,0,0,0,1,0,0
31,21933.29,7,682,0.1376,0,7,0.1498,0.0,18300.0,0.1125,36,9.995806444715381,9.814710982145282,0.1395880142070535,0.8343481529674754,601.29,0.32897390222807427,0.0,93.8432,0,2,0,1,0,1,0,0,0,1,0,0
33,149526.3,1,632,0.0607,0,9,0.3415,0.0,30500.0,0.1248,60,11.915234263837592,10.32551474894327,0.29378839088354175,0.2039774942602071,685.88,0.055044229677320984,0.0,38.3624,0,1,2,1,1,0,0,0,0,1,0,0
51,20405.41,2,769,0.1056,0,2,0.5294,18.1,17700.0,0.1068,60,9.923604346163172,9.781376414141157,0.42487550162798765,0.8674170232306041,382.02,0.2246580686200375,0.0,81.2064,1,3,3,2,0,1,1,0,0,0,0,1
50,35267.98,3,679,0.3228,0,4,0.4425,45.4,23400.0,0.1133,36,10.470759103050076,10.060534035475412,0.36637771940011754,0.6634913595845295,769.75,0.26190896104625216,0.0,219.1812,1,2,2,2,0,1,1,0,0,0,0,0
36,15943.92,7,850,0.3047,0,12,0.607,0.0,10800.0,0.055,36,9.676895562184786,9.287394001418473,0.47436908675537554,0.677374196558939,326.12,0.24545030331311246,0.0,258.995,0,4,3,1,0,1,0,0,0,1,0,0
54,77894.35,2,653,0.4986,0,4,0.2904,78.4,9200.0,0.1346,36,11.263121538164498,9.127067452782361,0.25495224782886206,0.1181086946614228,312.03,0.04806972521113533,0.0,325.5858,1,1,1,2,0,0,0,0,1,0,0,0
49,66255.58,5,641,0.3318,0,9,0.2905,0.0,26000.0,0.1643,36,11.101290059671205,10.165890277802454,0.2550297401765315,0.3924197780775596,919.61,0.1665568394390329,0.0,212.6838,0,1,1,2,0,1,0,0,0,1,0,0
28,139939.53,5,639,0.2994,4,11,0.3335,27.5,29200.0,0.1546,36,11.848972825630145,10.281958234245314,0.2878070646399319,0.20866155545899004,1018.82,0.08736516408194311,1.1976,191.3166,1,1,2,0,0,1,1,0,0,0,0,0
29,191521.66,10,719,0.4046,0,9,0.321,0.0,17000.0,0.0743,36,12.16276140958424,9.741027444837728,0.2783890255401883,0.08876280625387227,528.26,0.03309871061059099,0.0,290.9074,0,2,2,0,0,1,1,0,0,0,0,0
25,34631.46,3,587,0.165,0,8,0.65,44.5,32500.0,0.1669,36,10.452546671546887,10.389026137075234,0.5007752879124893,0.9384530712825853,1153.71,0.39976714813640546,0.0,96.855,1,1,3,0,0,0,1,0,0,0,0,1
63,36492.76,0,637,0.1641,1,8,0.2987,56.7,21800.0,0.1359,36,10.504896566051334,9.989711119284745,0.26136376413390755,0.5973787677336545,740.74,0.2435792743546939,0.1641,104.5317,1,1,1,3,0,0,1,0,0,0,0,0
53,29664.36,2,600,0.2884,0,8,0.3059,0.0,7700.0,0.1398,60,10.29773531413234,8.94910546953925,0.2668924582442245,0.25957074415224196,179.09,0.07244653179775326,0.0,173.04,0,1,2,2,0,0,0,0,0,1,0,0
41,57276.1,10,698,0.3811,0,9,0.3709,0.0,33500.0,0.1232,60,10.955656171861241,10.419330568113901,0.3154674584597176,0.5848861916226838,750.62,0.15726350083193513,0.0,266.0078,0,2,2,1,0,1,0,0,0,1,0,0
35,8932.06,5,630,0.1523,0,7,0.2099,0.0,21400.0,0.1935,36,9.097514280347815,9.97119292889014,0.19053771156529511,2.3958638880616565,788.23,1.0589673602729943,0.0,95.949,0,1,1,1,0,0,0,0,0,0,1,1
24,83545.51,2,606,0.6899,1,5,0.348,0.0,21400.0,0.173,36,11.333158761756716,9.97119292889014,0.2986220124901153,0.2561478169203827,766.17,0.1100482838634895,0.6899,418.07939999999996,0,1,2,0,0,0,1,0,0,0,0,0
41,83669.06,0,558,0.2797,0,8,0.2462,0.0,8500.0,0.1789,36,11.334636486392291,9.04793908261736,0.22009892112798457,0.10159071943679061,306.83,0.04400623121617477,0.0,156.0726,0,0,1,1,0,0,1,0,0,0,0,0
49,77567.48,1,838,0.0655,1,6,0.2659,58.7,7200.0,0.055,60,11.258916438088598,8.881975184248867,0.23578333166064555,0.09282240444062384,137.53,0.021276442137864993,0.0655,54.889,1,4,1,2,0,0,0,0,0,1,0,0
41,48289.72,3,707,0.5005,0,6,0.3926,0.0,22200.0,0.0795,60,10.784994688675674,10.007892611890918,0.3311725035263093,0.45972517546177527,449.6,0.11172564264195362,0.0,353.85349999999994,0,2,2,1,0,1,0,0,0,0,0,0
44,28186.35,0,717,0.4225,2,4,0.1999,63.5,9500.0,0.1056,60,10.246628574723115,9.15915233520675,0.18223821998820616,0.33704257557292805,204.47,0.08705064685565887,0.845,302.9325,1,2,1,2,0,1,1,0,0,0,0,0
62,89874.56,3,751,0.1609,0,9,0.2876,0.0,10300.0,0.1118,36,11.406181325880153,9.239996256883693,0.2527800204425161,0.11460417719986613,338.09,0.04514158400330416,0.0,120.8359,0,3,1,3,0,1,1,0,0,0,0,0
50,70907.6,2,711,0.3491,0,3,0.2868,66.9,29300.0,0.0953,60,11.169147002766517,10.285376924115587,0.25215851638273423,0.4132138162904963,615.78,0.10421111418240074,0.0,248.2101,1,2,1,2,0,0,0,0,0,0,0,0
